Zip Code,Dog Name,Animal Gender
11106,KATRINA,F
11106,MAGGIE,F
11357,SIMBA,F
10128,MOLLY,F
10312,MAXIE,F
10302,PENNY,F
10462,NICKOLS,M
10466,JJ,M
10028,BUSTA,F
10460,JINGIN,M
10028,BELLE,F
11694,JACK,M
11214,FLUFFY,M
10306,LITTLELADY,F
11237,BUDDY,M
10305,FLUFFY,M
10024,COOKIE,F
10025,BASIL,F
11414,MME.,F
11375,MOCHA,F
10023,ROSIE,F
10314,MISSY,F
11372,NATASHA,F
10024,DANA,F
10025,SAMSON,M
10022,GINGER,F
11214,SPARKLES,F
11214,KOKO,M
10023,NIKI,F
10036,FREYA,F
10314,SHAKESPEAR,M
10025,SHANTI,M
11358,LADDIE,M
10023,SCUSI,M
10023,JORDY,M
10304,MOCHA,M
11229,DEMETRIUS,M
10014,LULU,F
11385,LUCKY,F
10312,LUCKY,F
10163,RAMBO,M
11209,ANGEL,F
11229,BILLIE,F
10033,BUTCH,M
11217,NIGEL,M
11369,COOKY,F
10009,SUKI,F
11377,CHESTER,M
11370,BUFFY,F
10312,PHELSTAR,M
11234,SHIBA,F
10468,ROCKY,M
11229,CHUCHI,F
11231,JACKIE,F
10310,DAISY,F
10303,KIMBERLY,F
10312,LUCKY,M
10469,HERA,F
11436,BANDIT,F
10312,SABRETT,F
11357,GIOIA,F
10101,MILLIE,F
11377,SCRAPPY,M
10465,KUKLA,F
10128,BIKINI,F
11207,SUGAR,F
11378,BJ,M
11235,MICKEY,M
10001,TOBY,M
11235,SNOWFLAKE,M
11423,PEPPER,F
10009,DEMKO,F
11104,NENA,F
10309,BEAUTY,F
11238,SUSIE,F
10306,LOKI,F
10022,TITUS,M
11414,HONEY,F
10028,CHLOE,F
10014,KIBO,F
11102,BULLE,M
10024,LUCILU,F
10461,COCOA,F
10023,ABBY,F
11204,KIRA,F
11210,TROUTWIG,F
10314,DOLEY,F
10014,ZOEY,F
11378,BUSTER,M
11356,LADY,F
10016,SPUD,M
10467,PEARL,F
11218,BOOMER,M
10010,BLUE,M
10014,LOLA,F
11106,BUDDY,M
10002,COOKIE,F
10306,VITO,M
10312,MUFFIN,F
11213,ALPH,M
10025,BEAR,M
11224,PUFFY,M
11432,STOCKY,F
10026,RAISIN,F
11421,BRANDI,F
11379,ZIZOU,M
11374,SPOTTY,M
11209,SPANKY,M
11223,PRINCESS,F
10014,ROXY,F
10128,PARKER,M
11215,AMY,F
11375,NEEKO,M
10314,FOXY,F
10309,JACK,M
11106,ZEKE,M
11378,SOPHIA,F
10003,PEARL,F
10026,GIGI,F
10305,REYNA,F
10026,EDDIE,M
11417,MICHAELA,F
11375,JERRY,M
10473,NOSY,M
11235,REMY,M
11235,CHOCOLATE,M
10312,JILL,F
11228,WREX,M
11373,RAMBO,M
11375,FENCER,M
10001,CLOUDY,M
10016,DAKOTA,F
11236,MANDY,F
10469,TURK,M
11368,SPOTTY,M
11368,SAGE,M
10464,DARWIN,M
11432,TABASCO,F
11417,BRIDGET,F
10309,JENNA,F
10011,MILO,M
10128,CHARLEY,M
11414,CHYNA,F
11360,HANA,M
11364,COOKIE,M
11223,PENNY,F
10308,MAX,M
10309,RUDY,M
10025,PEPIN,M
11375,ROGUE,M
10025,FLOW,F
10312,NOODLES,M
11420,COCO,M
10472,BIANCA,F
10303,SNOOPIE,M
10023,BUDDHA,M
10029,BRUNO,M
11224,EEVEE,M
10463,BUDDIE,M
11228,AMOS,M
10011,ROXY,F
11426,MAGGIE,F
11235,DAZY,F
10306,CUBBY,M
11375,MAX,M
10029,ROXANNE,F
11415,YUKI,F
10044,THEODORE,M
10304,CHICO,M
11209,SAMMY,M
11233,FELA-JO,F
10128,MACHO,M
10023,POO,F
11104,MAGGIE,F
11106,JAX,M
11372,MYKE,M
11355,LUCKY,M
10310,PEBBLES,F
11218,FRANKIE,M
10463,HONEY,F
11375,DSMITH,F
10011,ANAMCARA,F
11418,TOMMY,M
11218,BUDDY,M
11369,BAILEY,F
10304,BORIS,M
10024,LUCY,F
10280,TUCKSHOP,M
11361,SHADOW,M
11379,CHEWIE,F
11218,MR.,M
10309,MAXINE,F
10036,TESS,F
10023,FARFEL,M
10310,JENNY,F
10314,ANGELICA,F
10465,SAM,F
10016,CALABAZA,M
11209,HABIBI,M
10304,MIGNON,F
10314,BELLA,F
10462,ROQUE,M
10473,LADY,F
10004,JED,M
10021,SABRINA,F
11373,BOSS,M
10467,CANDY,F
10002,PAPER,M
10021,RUSTY,M
11229,TAMMY,F
11215,JENNIFERIV,F
10306,PEPPER,M
10021,LULU,F
10024,LILY,F
10304,MICKEY,M
10313,BRANDO,M
11229,SAMMY,M
11423,HAPPY-GO-L,M
10001,TREVA,F
11377,MINNIE,F
10128,BEAMER,F
11232,LITTLE,M
11209,TRALLIE,F
10002,MINI,F
10312,TYLER,M
10469,BAILEY,M
10128,PENNY,F
10030,PUCHY,M
11209,DUCHESS,F
11364,SHADOW,M
11355,SAMSON,M
10028,BARLIE,F
10031,PRECIOUS,F
10024,BO,M
11106,SHADOW,F
11377,MEI,F
10128,LADY,F
10011,THEO,M
11104,DAKOTA,F
11692,SMOKEY,M
11231,DAISY,F
11204,TERI,F
10302,DUCHESS,F
10307,BELLA,F
11234,MISSY,F
11360,SKIP,M
10016,MAX,M
10003,SAMANTHA,F
10025,BA,M
10309,FREDDIE,M
10036,TRUFFLES,F
10021,KELTIE,F
11355,BROMLEY,M
11355,BAILEY,F
10462,SIMON,M
10013,WILLIE,M
10028,CASEY,M
11362,SIRWINSTON,M
11377,BUTCH,M
11375,ZEKE,M
11422,BRANDY,F
11209,SUTU,M
11223,JAKE,M
11368,MUNECA,F
10012,HANA,F
10307,TOMMY,M
11220,BILLY,M
10314,ROCKETTE,F
10023,KATIE,F
10023,JAKE,M
11218,PREETZEETA,F
11358,GIZMO,F
11379,MACKIE,M
11235,MR.,M
10016,TALLY,M
10461,LUCKI,M
10306,DITTO,M
11237,TARO,M
10028,COCO,F
10014,GABRIELLE,F
10023,BEAU,M
11102,GOKU,M
11218,HANK,M
10301,ISIS,F
10016,CLEOPATRA,F
